ds;yhat
2024-12-09 09:45:00;11458.787864033477
2024-12-09 10:00:00;11458.278624968409
2024-12-09 10:15:00;11450.983464195384
2024-12-09 10:30:00;11437.148444351966
2024-12-09 10:45:00;11417.158505780759
2024-12-09 11:00:00;11391.580905451438
2024-12-09 11:15:00;11361.196523700351
2024-12-09 11:30:00;11327.015116548067
2024-12-09 11:45:00;11290.271772010943
2024-12-09 12:00:00;11252.40324139831
2024-12-09 12:15:00;11215.00435967371
2024-12-09 12:30:00;11179.766331098923
2024-12-09 12:45:00;11148.40012583254
2024-12-09 13:00:00;11122.549500083456
2024-12-09 13:15:00;11103.699123795306
2024-12-09 13:30:00;11093.083900990317
2024-12-09 13:45:00;11091.605749799444
2024-12-09 14:00:00;11099.763850827154
2024-12-09 14:15:00;11117.603686151158
2024-12-09 14:30:00;11144.689115654846
2024-12-09 14:45:00;11180.100341731337
2024-12-09 15:00:00;11222.458988859717
2024-12-09 15:15:00;11269.979777889008
2024-12-09 15:30:00;11320.546526406613
2024-12-09 15:45:00;11371.80857212911
2024-12-09 16:00:00;11421.2923117202
2024-12-09 16:15:00;11466.52146926593
2024-12-09 16:30:00;11505.139034794578
2024-12-09 16:45:00;11535.023593155336
2024-12-09 17:00:00;11554.393020312347
2024-12-09 17:15:00;11561.889241477022
2024-12-09 17:30:00;11556.638885446853
2024-12-09 17:45:00;11538.286156933102
2024-12-09 18:00:00;11506.99598914466
2024-12-09 18:15:00;11463.427420013935
2024-12-09 18:30:00;11408.679031488704
2024-12-09 18:45:00;11344.21007934895
2024-12-09 19:00:00;11271.7425005218
2024-12-09 19:15:00;11193.150211415765
2024-12-09 19:30:00;11110.342922440548
2024-12-09 19:45:00;11025.1520350357
2024-12-09 20:00:00;10939.226031698698
2024-12-09 20:15:00;10853.942128134817
2024-12-09 20:30:00;10770.339868208488
2024-12-09 20:45:00;10689.080877672814
2024-12-09 21:00:00;10610.4372483058
2024-12-09 21:15:00;10534.309114735202
2024-12-09 21:30:00;10460.27003534006
2024-12-09 21:45:00;10387.636928780263
2024-12-09 22:00:00;10315.559668887001
2024-12-09 22:15:00;10243.124113216676
2024-12-09 22:30:00;10169.461422624197
2024-12-09 22:45:00;10093.856082396152
2024-12-09 23:00:00;10015.84508753842
2024-12-09 23:15:00;9935.301305463388
2024-12-09 23:30:00;9852.49504071909
2024-12-09 23:45:00;9768.129231956946
2024-12-10 00:00:00;9683.345419340312
2024-12-10 00:15:00;9599.69951927703
2024-12-10 00:30:00;9519.108404768243
2024-12-10 00:45:00;9443.770189695144
2024-12-10 01:00:00;9376.062826224364
2024-12-10 01:15:00;9318.427035228611
2024-12-10 01:30:00;9273.240611313104
2024-12-10 01:45:00;9242.691707748038
2024-12-10 02:00:00;9228.65878039202
2024-12-10 02:15:00;9232.604450248436
2024-12-10 02:30:00;9255.489661503507
2024-12-10 02:45:00;9297.713227222313
2024-12-10 03:00:00;9359.080254775534
2024-12-10 03:15:00;9438.801134269477
2024-12-10 03:30:00;9535.520877058068
2024-12-10 03:45:00;9647.376731183544
2024-12-10 04:00:00;9772.080298238392
2024-12-10 04:15:00;9907.018943485667
2024-12-10 04:30:00;10049.370214048029
2024-12-10 04:45:00;10196.2223301429
2024-12-10 05:00:00;10344.693624952635
2024-12-10 05:15:00;10492.044086679993
2024-12-10 05:30:00;10635.772872407111
2024-12-10 05:45:00;10773.696771199344
2024-12-10 06:00:00;10904.00599819684
2024-12-10 06:15:00;11025.29531576669
2024-12-10 06:30:00;11136.57018057285
2024-12-10 06:45:00;11237.229291232028
2024-12-10 07:00:00;11327.026443670133
2024-12-10 07:15:00;11406.015892714737
2024-12-10 07:30:00;11474.486373561045
2024-12-10 07:45:00;11532.889504744258
2024-12-10 08:00:00;11581.768435111526
2024-12-10 08:15:00;11621.692310695602
2024-12-10 08:30:00;11653.201449144386
2024-12-10 08:45:00;11676.767077238288
2024-12-10 09:00:00;11692.768185720683
2024-12-10 09:15:00;11701.486587349043
2024-12-10 09:30:00;11703.119734469563
2024-12-10 09:45:00;11697.809375520332
2024-12-10 10:00:00;11685.682813761465
2024-12-10 10:15:00;11666.902472351549
2024-12-10 10:30:00;11641.718746165096
2024-12-10 10:45:00;11610.52078516048
2024-12-10 11:00:00;11573.879932753505
2024-12-10 11:15:00;11532.581031690008
2024-12-10 11:30:00;11487.637675298973
2024-12-10 11:45:00;11440.28866215951
2024-12-10 12:00:00;11391.974325416691
2024-12-10 12:15:00;11344.292950591474
2024-12-10 12:30:00;11298.939058461257
2024-12-10 12:45:00;11257.626798353076
